country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-10,0.8789628720540585,0.9468967942517709,0.8110289498563462,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-11,0.8719020111896152,0.937723870498033,0.8060801518811974,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-12,0.8656920178080786,0.9319225349502118,0.7994615006659453,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-13,0.8581138982471282,0.9263241299457167,0.7899036665485398,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-14,0.8484424895160436,0.9187235069465632,0.778161472085524,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-15,0.8378050667658663,0.9103780489776995,0.7652320845540331,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-16,0.827061108989614,0.9017122885852685,0.7524099293939596,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-17,0.8155249046216507,0.8910241308215184,0.740025678421783,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-18,0.8017026751800959,0.8770485380224338,0.726356812337758,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-19,0.785462394747515,0.8599959792034099,0.7109288102916201,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-20,0.7681442032613507,0.8402078247998493,0.696080581722852,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-21,0.7521681846424781,0.819614180088294,0.6847221891966623,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-22,0.7394871349190426,0.8018913535456569,0.6770829162924283,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-23,0.7310160276717993,0.7898753517581251,0.6721567035854735,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-24,0.7261816500543201,0.7840338635959022,0.668329436512738,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-25,0.7241051603373804,0.785423715511108,0.6627866051636527,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-26,0.7246983364668579,0.7941362850096927,0.6552603879240231,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-27,0.7283858691578451,0.806323189149118,0.6504485491665721,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-28,0.7352147982855787,0.8179123383624365,0.6525172582087209,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-29,0.7443436913942729,0.8277824641356734,0.6609049186528725,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-04-30,0.7548343239676689,0.8360067820304921,0.6736618659048458,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-01,0.7660626907646032,0.8423411423604874,0.689784239168719,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-02,0.7771176226144708,0.8475217241717985,0.7067135210571431,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-03,0.7865435155690332,0.8537524681772509,0.7193345629608155,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-04,0.7930725034536461,0.8615348674838305,0.7246101394234618,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-05,0.7971606805450785,0.8700107760953348,0.7243105849948221,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-06,0.8003827867471195,0.8796124398734367,0.7211531336208022,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-07,0.8033881880010728,0.8899212197021,0.7168551563000456,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-08,0.8048016745883453,0.8982145474021201,0.7113888017745704,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-09,0.8023327981777125,0.9011367241088446,0.70352887224658045,ITA
